Altitude,Catchment area,Catchment height,Absorbance Coefficient,Ammonia,Cloud Cover,Dissolved Oxygen Saturation,Dissolved Reactive Phosphate,E Coli,Electrical Conductivity,Nitrate + Nitrite,Total Nitrogen,Total Phosphate,Turbidity,Water Temp,pH
305,4453,973,0.3,4,6,111.3,0.5,2,68.7,18,112,3,0.3,14.5,8.78
171,642,774,18,3,6,101.5,1.8,25.9,33,24,179,20,3.3,11,7.14
305,4302,1043,0.5,11,7,101.3,0.9,4.1,66.2,15,89,12,1.1,12.9,7.9
20,3827,485,20.4,8,4,98.3,5.9,117.8,44.3,103,283,25,5.4,12.8,6.98
205,509,528,4.8,4,3,100.2,20.8,143.9,73.9,131,291,39,3.1,12.8,7.72
320,1079,1200,1.3,3,8,100.8,0.5,2,100.1,11,72,23,4,8.4,7.87
185,1144,599,3.4,6,1,103,25,579.4,85.4,704,838,39,1.4,13.2,7.68
15,270,107,17.1,8,2,87.6,26.3,118.7,198,216,649,62,8,16.8,7.39
30,122,237,7.9,3,3,97.8,5.5,139.6,119,22,133,11,1.9,14.6,7.58
80,304,413,7.5,5,7,96.5,10,285.1,50.4,254,413,36,5.4,12.4,7.08
10,82,228,30.1,19,3,80.7,21.4,1299.65,243,284,937,68,9.8,16.4,7.27
10,307,151,14.6,8,5,101.2,8.9,161.6,116.2,192,464,29,2.6,16.1,7.51
10,2822,201,13.2,27,6,86.6,25.2,1413.6,111.4,706,1131,86,14,15.1,7.16
15,8431,486,3.5,7,4,100.2,14.1,55.6,168,211,385,35,1.6,18.5,7.62
21,809,231,10.2,2,5,95.2,9,191.8,133,49,264,29,5.5,17.6,7.35
91,546,159,20.7,40,4,94.2,25.3,78,121.3,417,814,76,8.3,17.1,6.68
15,1114,257,8.7,31,7,98.7,24.2,1986.28,107.5,383,1028,240,30,14.8,7.6
320,19,725,14.4,10,6,100.8,8.4,488.4,45.5,57,262,32,2,11.5,7.14
320,414,455,0.5,2,8,100.7,2.2,22.8,500,2,97,7,0.3,17,7.99
30,216,297,9,31,8,100,84.5,1732.87,196,1444,1803,155,2.8,14.9,7.81
6,914,374,7,52,8,84.1,69.5,186,338,383,731,124,3,17.2,7.26
3,2818,482,2.6,14,8,98.9,20.7,66.3,94.7,417,548,37,1.5,14.6,6.95
18,6567,423,7.5,8,8,98.1,7.5,104.6,99.1,196,390,27,3.5,14.4,7.55
363,786,1005,2.6,5,4,100.9,14.4,44.8,80.2,37,115,26,1.8,9.8,7.4
10,605,339,3.3,8,1,101.5,2,214.2,94.8,153,284,9,0.44,13,7.39
244,2387,1034,1.1,1,3,103.6,1.8,12.2,63.2,48,163,20,9.3,10.3,7.2
518,2689,864,6.4,3,5,103.1,8.1,1299.65,88.8,57,306,102,42,10.8,7.79
70,3451,746,6.7,3,6,99.1,8.5,2419.2,166,102,521,222,83,13.2,7.88
200,87,576,11,2,3,99.8,3.6,3.1,62.9,32,163,6,0.46,10.8,7.44
425,293,622,17.5,18,6,99.6,18.1,1732.87,51.6,192,1297,382,88,12.8,7.16
131,2139,553,17.9,14,7,101.8,12.8,1986.28,70.3,300,832,118,43,13,7.29
442,1060,976,1.5,1,1,102.5,1,3.1,64.7,5,105,6,1.3,11.5,7.77
152,716,371,5,9,6,101,13.3,410.6,240,358,578,40,3.1,13.5,8.11
17,2368,322,3.4,5,1,98.3,17.2,139.6,93.2,219,357,37,3.1,13.4,7.53
37,3916,333,5.3,11,7,99.2,14.8,866.4,166,533,774,68,22,14.8,7.73
60,2525,648,1.7,3,1,101.4,3.1,54.5,78.9,254,371,13,2.5,12.9,7.75
457,30.5,722,12.2,8,7,101.6,30,1413.6,109,106,423,56,4.2,13.5,7.98
85,640,351,4.4,5,2,99,8.2,122.3,98.1,267,392,17,1.9,14.8,7.49
10,4846,333,5.5,97,7,100.2,33.5,816.4,165,527,873,79,14,15.5,7.68
268,78,829,5.9,1,1,100.6,1.7,7.4,44,33,126,11,1.3,11.5,7.37
76,3076,854,0.8,2,2,100.2,2.3,71.2,66.9,99,180,31,19,15.6,7.66
55,1571,385,4.4,3,3,98.2,1.6,1553.07,373,37,311,194,230,16.2,8.11
238,458,1020,5.1,11,1,96.3,2,13.5,43.5,91,285,15,1.2,12,7.6
180,406,627,3.7,5,1,96.8,0.7,57.3,78.4,476,604,3,0.36,10.3,7.81
4,2373,542,2.9,7,0,94.2,2.7,19.5,61.6,107,233,6,0.4,13.6,7.6
5,11909,956,1.2,2,0,92.4,2,58.6,70.4,177,274,9,0.7,13.8,7.31
250,9741,1047,0.6,5,0,99.9,0.5,0,60.1,10,121,7,0.44,14,7.89
198,896,695,1.3,1,0,108,2.7,21.6,93.3,5,118,7,0.4,14.3,7.99
53,1027,1009,1.9,4,8,99.2,2.3,4.1,62.6,32,140,69,30,8.6,7.68
329,121,863,1.5,2,0,98,5.1,45,88.8,192,221,58,43,8.9,7.78
15,6309,736,2.6,0,8,98.2,0.7,16,71.9,125,175,5,1.5,10,7.65
171,642,774,2.5,0,6,102.9,0.8,5.2,63,53,99,3,0.3,9.1,7.67
20,3827,485,5.2,4,8,99.9,1.6,14.6,61.3,202,276,6,1.3,11.8,7.39
376,166,1049,0.6,0,1,100.7,2,1,107.1,42,70,8,0.5,6.1,8.1
11,1376,607,3.4,1,8,100.1,8.6,65.7,82.3,133,190,67,42.5,11.5,7.74
76,1750,613,2.4,0,4,101,2.1,27.2,131,370,436,5,1.2,10.2,8.01
213,258,701,3.3,3,7,99,0.2,1,37.5,5,92,4,0.44,12.5,7.35
26,2438,342,11.7,18,2,96,36.5,307.6,242,1521,1808,107,24,13.7,8.01
14,8098,665,5.1,3,8,101.4,1,71.7,87.7,212,312,9,1.9,9.4,7.78
5,2150,449,3.3,7,3,99.1,9.3,53.7,91.4,870,1004,19,3.3,10.4,7.45
183,1404,888,2,1,8,100.4,0.4,21.8,54.5,49,97,5,1,11.3,7.74
15,5139,470,4.5,65,1,92.2,27.1,235.9,100.2,951,1196,45,3.1,8.2,7.16
655,521,1422,0.7,0,7,100.6,2.2,12.2,46.9,31,67,8,2.8,7.3,7.67
220,1139,694,2.4,4,8,94.5,2.2,55.6,61.5,712,778,8,1.6,8.7,7.1
259,787,787,1.1,4,8,97.1,5.6,178.9,55.9,301,376,13,1.9,9.4,7.26
488,384,1108,1,1,5,98.3,1.7,6.3,70.8,17,63,8,1.2,8.8,7.78
2,2001,663,3.3,2,2,96.4,8.2,68.3,144,302,376,55,33,13.1,7.92
9,20582,790,1.7,1,6,99.1,0.8,25.9,74.4,66,152,11,2.25,12.1,7.79
3,3494,847,0.9,0,1,100.5,2.5,6.3,61.3,176,213,10,2.2,13.3,7.62
320,2423,690,11.2,8,8,97.2,16.2,98.5,94.5,94,330,42,3.7,7,7.49
320,1040,820,2.1,1,0,98.3,7.2,37.7,87.5,296,367,19,3.6,9.3,7.82
220,151,672,12.4,2,8,97.2,1.7,186,40.4,6,158,13,2.4,6.2,7.12
15,2371,732,3.4,5,8,98.7,12.2,42.8,123.3,268,354,70,39,10.7,8.21
20,4716,605,11.7,4,8,97.8,14.7,78,88.5,139,359,34,4.25,7.9,7.45
53,1027,1009,0.6,0,0,99.8,0.8,1,90.4,39,65,4,0.34,5.7,7.74
15,1114,257,9.9,21,0,100,7.7,1986.28,93.3,313,636,184,61,9.7,7.5
10,12429,383,7.9,18,0,89,33.7,32.4,160,648,878,72,4.5,13.3,7.35
320,19,725,4.1,6,0,100.3,5.6,68.3,72.2,180,227,11,0.79,7.1,7.48
349,3305,655,0.4,1,1,99.8,0.4,2,117.5,0,63,4,0.42,14.5,8.01
30,216,297,8.3,193,1,104.3,111.8,770.1,167,1642,2122,220,4.2,8.7,7.82
10,305,248,4.4,4,0,102.1,3.8,8.2,103.2,625,700,10,2.1,10.6,7.42
10,1127,202,5.7,48,1,91.1,42.6,30.5,114,1241,1397,97,4.9,11.9,7.18
18,6567,423,15.1,14,4,96.6,5.8,2419.2,83.7,305,640,149,71,9.6,7.45
205,509,528,3,2,2,101.1,21.4,19.7,75.8,205,265,36,2.2,8.1,7.67
185,1144,599,2,4,1,101.1,22.6,19.7,85.5,830,904,35,1.2,9.6,7.65
363,786,1005,1.1,1,6,103.2,10.4,11.3,102.1,21,54,13,0.6,7.1,7.59
10,605,339,12,4,0,98,3.9,116,86.9,284,414,13,3.2,8.7,7.16
518,2689,864,5.4,3,8,100.9,4.3,186,115.2,142,309,32,6.9,6.9,7.92
200,87,576,7.4,1,0,100.5,2,1,56.6,45,125,6,0.5,7.7,7.41
91,16548,902,2.6,2,8,97.6,0.8,14.8,73.2,57,130,11,3.2,10,7.64
15,270,107,21.2,26,0,88.7,30.7,325.5,181,486,928,87,15,11.3,7.29
244,2387,1034,1.2,0,7,100,2.6,51.2,69.5,76,125,7,4.4,6.6,7.75
80,304,413,5,2,0,98,7.5,46.5,54.8,384,484,17,1.5,7.8,7.12
70,3451,746,6.9,4,1,100.3,8.4,727,135,169,359,54,22,8.1,7.91
30,122,237,12.4,1,1,98.2,4.9,111.9,118.9,24,133,9,3.7,11.8,7.56
10,82,228,34,18,0,91.1,28.4,488.4,209,323,948,68,12,11.4,7.27
131,2139,553,6.8,4,0,100.8,7.5,69.1,81.6,337,469,23,4,7.4,7.56
320,414,455,0.5,0,3,100.1,1.6,4.1,508,1,85,6,0.44,14.4,8.11
152,716,371,7.3,12,1,97.8,10.7,1119.85,244,806,1144,37,5.1,9.2,8.03
10,307,151,11.5,4,4,104,6.3,105,112.7,302,494,20,3.7,12.6,7.55
17,2368,322,11.5,15,5,97.6,20.4,1732.87,163,527,871,85,28,9.8,7.58
442,1060,976,1.7,1,1,103.7,0.6,6.3,70.1,3,72,5,1.2,7.5,7.96
305,4453,973,0.3,1,0,113.4,0.6,1,71.2,29,110,3,0.3,12.1,8.75
85,640,351,10.3,11,7,98.7,15.4,770.1,137,659,926,58,21,10.5,7.53
10,2822,201,10,13,0,91.6,20.6,410.6,122.3,1120,1295,58,8,10.5,7.18
37,3916,333,10.4,15,6,97.9,14.9,980.4,160,653,1004,92,28,10.2,7.68
60,2525,648,1.6,2,3,104.9,1.6,20.9,88.1,324,373,8,2.2,8.4,7.87
6,914,374,5.6,65,5,86.8,60.5,261.3,316,432,697,99,3.5,13.9,7.32
15,8431,486,4.4,8,0,93.9,25.8,44.8,165,393,503,39,1.2,14.6,7.47
305,4302,1043,0.5,9,2,99.6,1,10.9,66.7,21,102,8,1.1,10.9,7.85
268,78,829,3.8,2,4,99.8,2.5,14.6,52.3,55,93,5,0.75,8.2,7.49
3,2818,482,2.8,15,5,94.3,27,22.6,89.7,512,600,41,2.9,11.7,7
10,4846,333,9.4,58,5,99.5,21.1,228.2,160,658,1024,88,28,10.4,7.71
320,1079,1200,1.2,2,4,103.1,0.1,0,105.7,18,72,11,2.8,5,7.89
21,809,231,14.1,12,3,94.5,9.1,365.4,132,247,452,37,14,13.8,7.19
91,546,159,17.9,39,2,87.1,24,77.6,134,573,978,76,8.8,13.4,6.72
76,3076,854,0.9,1,2,100,1.8,95.9,70.1,121,146,23,16,9.9,7.74
238,458,1020,5,3,1,98.2,2,79.8,56.5,221,342,10,3.8,6.5,7.7
180,406,627,3.1,4,1,100.3,3.5,123.6,76.8,673,877,11,1.4,6.5,7.64
4,2373,542,2.5,4,2,97.4,1.5,29.5,83,447,568,6,0.55,9,7.66
5,11909,956,1,5,2,92.8,2,25.9,68.6,237,327,7,1.1,10.3,7.49
198,896,695,2.9,1,1,103,1.2,21.6,76.6,42,172,4,0.39,10.1,7.8
425,293,622,4.2,3,8,99,5.4,157.6,84.2,241,316,19,2.2,10.3,7.61
457,30.5,722,4.6,5,8,99,7.3,172.3,162,295,411,15,2.4,11.1,8.1
55,1571,385,4.5,12,7,97.9,6.4,133.3,527,320,473,90,62,11.6,8
488,384,1108,1.6,1,0,98.8,2.4,8.6,63.7,8,24,3,1.7,4.6,7.73
26,2438,342,4.8,11,8,104.8,10.5,21.1,248,1568,1744,21,1,9.7,8.42
2,2001,663,1.5,2,0,95.9,9.2,17.3,145,203,263,18,7.3,9.7,7.98
320,1040,820,2,1,0,98.4,9.1,12.2,78,240,278,12,2.1,5,7.75
11,1376,607,2.6,0,0,98,11,21.8,83.3,92,127,20,8.2,7.9,7.74
329,121,863,1.6,1,8,98,5.9,9.7,99.2,64,81,9,3.5,7.4,7.78
376,166,1049,2.8,4,1,101.2,3.5,5.1,81.3,22,51,9,8.7,5.2,7.99
15,6309,736,17.2,10,0,101,6.2,344.8,50.2,87,464,369,37,7.5,7.32
349,3305,655,0.6,2,6,98.6,0.9,2,117.7,0,55,4,0.32,13.2,7.87
76,1750,613,14.3,7,0,100.1,7.2,101.7,78.4,282,470,74,30,6.9,7.68
213,258,701,3.3,3,7,99.3,1.2,0,37.8,6,112,2,0.32,9.2,7.32
171,642,774,20.6,8,0,101,4.1,26.2,36.4,62,209,22,5.8,10.1,7.12
205,509,528,5.3,5,8,99.2,23.9,104.6,68.5,214,317,47,6.2,9.8,7.62
185,1144,599,2.3,5,6,100.4,23.9,20.1,82.8,769,842,34,1.5,10.6,7.63
14,8098,665,15.2,15,4,100.7,9,1986.28,104.3,370,695,63,11,5.4,7.52
20,3827,485,22.3,15,0,100.5,5.9,108.1,39.4,169,383,57,15,8.5,6.94
5,2150,449,7.5,17,5,98.8,13,866.4,123,1746,2021,49,8.3,6.4,7.33
183,1404,888,4.9,3,8,100.2,3.2,31.7,55.9,61,123,13,2.8,6.7,7.6
15,5139,470,11.2,37,3,97.9,20.6,920.8,101.3,1087,1410,58,12,5.2,7.33
10,12429,383,7.1,28,1,89.3,29.6,1299.65,149,551,747,59,7.8,11.5,7.33
655,521,1422,1.3,1,1,100.9,4.9,8.5,42.8,35,59,18,15,2.6,7.5
15,270,107,16.2,50,0,88,32.4,1203.31,187,499,1052,101,24,11,7.28
91,16548,902,1.6,2,2,99.6,1.2,13.4,73.1,44,117,6,1.7,7.4,7.75
30,122,237,17.6,4,0,99.5,6.2,285.1,106.9,47,218,20,13,10.2,7.43
10,82,228,33.9,24,1,91.3,32.2,1732.87,208,305,1035,92,21,10.6,7.32
220,1139,694,5.1,4,4,99.4,2.8,78.9,61.7,654,789,7,1.2,5.4,7.16
10,305,248,5.6,68,0,104.9,1.5,93.3,131,649,796,9,2,9.5,7.56
10,307,151,15.1,21,1,99.7,11.4,547.5,104.1,448,766,42,11,12,7.21
259,787,787,3.7,7,7,101.2,7.6,95.9,49.5,247,361,16,2.3,4.8,7.25
10,1127,202,5.9,69,2,89.3,44.3,1732.87,112,1306,1518,101,7.7,11.1,7.18
305,4453,973,0.4,3,2,106.1,1,3.1,68.3,63,93,2,0.48,10.5,8.25
3,3494,847,3.5,2,7,99.6,8.4,24,56.6,242,317,36,30,6.5,7.44
9,20582,790,2.6,3,3,100,3.5,135.4,79.3,177,311,18,3.1,8.2,7.69
305,4302,1043,0.5,9,3,100.4,1.5,2,68.6,26,91,9,1.3,8.8,7.92
21,809,231,17.4,18,4,94.3,8.9,920.8,108.1,226,546,50,26,12.1,7.08
320,1079,1200,1.4,3,6,103.1,0.8,1,106.4,24,97,38,3.6,3.5,7.91
91,546,159,24.6,97,4,91,32.4,517.2,118.3,718,1203,107,21,12.2,6.53
238,458,1020,5.7,17,5,98.8,3.3,129.6,50.3,446,644,14,3.6,4.1,7.31
180,406,627,6.7,8,4,96.3,11.1,103.9,116.1,2657,2951,30,6.3,4.3,7.46
4,2373,542,4.9,3,4,96.2,5.2,47.1,107.8,1507,1729,9,0.77,5.5,6.88
320,2423,690,12.2,5,2,97.2,24.3,71.7,120,90,390,44,3.4,2.1,7.58
80,304,413,6.2,4,8,97.6,10.5,141.4,51.6,425,549,23,4.1,9,7.11
220,151,672,10.3,3,6,98.2,3.4,42.6,37.9,2,241,9,0.59,2,7.15
320,414,455,0.6,2,8,100.7,2.5,7.4,509,2,72,6,0.54,12.6,8.05
5,11909,956,1.3,4,4,101.9,1,29.2,64.7,171,285,6,3.2,7.1,7.39
20,4716,605,11.7,4,1,98.2,17.2,52,97.3,85,380,34,3.2,3,7.55
250,9741,1047,0.6,1,4,98,0.8,2,57.7,11,88,2,0.79,6.6,7.63
198,896,695,6,11,4,102.3,3.2,28.5,96.4,647,891,7,0.69,4.5,7.43
10,2822,201,10.4,21,2,92,20.7,816.4,118.9,1170,1436,61,15,9.8,7.21
6,914,374,4.7,48,5,90.2,54.5,190.4,297,423,612,81,3.3,13.9,7.3
3,2818,482,3,15,4,96.1,30.2,143.9,87.8,552,638,43,4.3,10.3,7.01
15,8431,486,4,12,2,96.1,23.4,198.9,157,390,492,34,1.6,12.6,7.44
425,293,622,4.4,10,8,99.2,10.2,238.2,69.7,337,453,25,5,7.5,7.5
457,30.5,722,6.6,9,8,100,24.8,2419.2,110.8,313,882,188,49,7.1,7.82
55,1571,385,10,46,8,95.4,16.3,4611,404,277,1421,1424,925,8.6,8.04
53,1027,1009,0.5,4,0,97.8,1,5.2,87.1,49,71,2,0.54,4.1,7.62
15,1114,257,8.4,23,0,100,5.8,1553.07,83.1,417,731,146,65,7.3,7.39
320,19,725,3.6,15,0,99.8,5.8,48.7,70.2,235,262,9,1.8,5.5,7.4
30,216,297,6.3,147,0,102.8,48.7,307.6,165,2043,2362,106,4.1,7.8,7.62
18,6567,423,11.1,12,6,96.6,8.1,1732.87,79.2,519,837,108,53,7.7,7.37
363,786,1005,0.9,0,6,101.3,15.3,15.8,92.1,69,77,19,0.62,5.7,7.41
10,605,339,8.2,3,2,98.5,5.5,82.3,94.1,317,396,8,0.96,6.9,7.14
244,2387,1034,1.9,1,8,98.8,3.8,18.5,67.7,135,189,42,23,4.6,7.62
518,2689,864,6.5,6,7,102.8,10.7,141.4,132,347,525,46,17,5,7.86
70,3451,746,8.8,14,6,98.6,13.2,365.4,150,459,730,96,36,6.2,7.77
200,87,576,4.5,2,8,100.3,4.9,0,62.8,58,109,6,0.41,6.5,7.39
442,1060,976,2.8,4,8,106.8,3,18.7,73.9,67,167,18,12,6.1,7.66
131,2139,553,4.9,6,8,100.2,10.2,75.4,79.1,552,641,27,6.1,6.2,7.46
152,716,371,11,27,2,96.3,22.5,866.4,197,992,1354,109,44,6.7,7.83
17,2368,322,10.6,34,4,98.5,26.9,866.4,169,909,1251,81,32,6.4,7.5
60,2525,648,4.3,3,8,97.2,4.8,73.8,84.5,308,383,30,16,6,7.65
37,3916,333,9.2,33,7,98.3,18,770.1,154,1137,1483,121,52,7.7,7.49
85,640,351,8.2,17,6,98.8,16,344.8,141,1096,1309,36,12,7.5,7.42
76,3076,854,2.8,2,8,100.8,4.2,50.7,66.7,140,215,55,35,5.6,7.61
10,4846,333,11.4,30,8,99.1,20.9,459,151,1155,1542,187,57,7.8,7.49
268,78,829,3.2,1,7,100.2,3,1,53.1,82,115,4,0.82,6.8,7.35
213,258,701,3.5,2,8,98.6,0.4,1,37.3,13,73,2,0.35,8.5,7.27
14,8098,665,9.9,5,6,100.8,3.7,365.4,86.9,291,470,30,6.4,5.6,7.54
5,2150,449,3.9,10,7,100.1,5.7,137.4,122,1809,2000,19,2.4,5.5,7.39
15,5139,470,8,33,8,99.8,15,517.2,93.8,1023,1373,61,14,4,7.38
11,1376,607,4.3,6,5,98.3,15.1,21.6,85,197,212,37,17,9.6,7.63
220,1139,694,4.2,2,8,97.8,1.9,50.4,64.1,834,994,7,0.95,3.9,7.07
259,787,787,3.8,4,0,98.2,4.9,43.2,51.3,313,407,15,2.1,4.1,7.17
9,20582,790,3.2,2,3,100.7,1.5,40.8,75.7,176,265,9,1.6,6.4,7.73
320,2423,690,9,5,0,97.2,5.1,52.1,101.3,153,577,28,4.5,0.5,7.52
220,151,672,10.9,3,0,99.4,2.9,49.5,39,8,172,10,1.1,0,7.26
20,4716,605,9.8,3,0,98.6,6.2,65.7,92.3,146,496,30,6,2.1,7.56
15,6309,736,9,1,8,99.5,1.3,25.9,73.1,107,178,5,1.2,7.9,7.56
349,3305,655,0.5,0,6,99.8,0.9,0,119.6,1,65,4,0.5,11.5,7.75
488,384,1108,1.2,3,1,98.8,3.6,6.2,59.6,14,89,6,1.7,5.5,7.66
171,642,774,12.4,2,7,100.5,1.7,12.1,41,59,126,5,0.55,7.4,7.25
2,2001,663,1.9,8,1,98.8,15.5,65.7,124.4,325,551,111,69,8.6,7.82
205,509,528,2.6,3,6,100,23.7,34.5,69.6,217,290,39,5.4,9.5,7.58
20,3827,485,10.5,3,7,100,2,45.7,52.7,160,252,13,1.9,8.4,7.21
185,1144,599,1.6,4,6,100.5,22.8,12.1,83.6,867,949,35,2,10.6,7.57
238,458,1020,5.1,17,8,102.2,2.7,56.3,52.1,487,659,15,0.84,3.4,7.79
10,605,339,19.7,6,8,99.6,8.4,218.7,68.9,200,378,43,18,10,7.18
180,406,627,7.3,10,8,98.8,12.1,65,126,3358,3675,29,4.9,4,7.68
329,121,863,1.1,2,6,98.2,8.1,29.2,79.4,173,227,72,45,7.9,7.73
376,166,1049,1.4,1,8,100.9,3.3,0,115.5,40,85,3,0.45,5.8,8.12
4,2373,542,5.8,3,7,100.2,6.5,83.3,116.7,2157,2469,17,2.8,7.6,7.68
200,87,576,25.2,5,8,101.8,4.4,2,40.3,26,191,11,2.3,8.3,7.24
91,16548,902,1.1,1,8,101.1,0.8,8.6,68.1,43,161,4,1,7.5,7.74
10,12429,383,4.3,12,6,95.9,24.1,46.4,151,494,644,47,3,10.9,7.52
30,122,237,4.2,2,7,101.1,4.8,13.5,121,9,60,9,1.2,10.7,7.72
17,2368,322,7.3,29,6,97.2,15.9,148.3,107.5,798,1017,86,22,8.9,7.48
10,307,151,6.1,3,7,105.1,2.8,410.6,115.7,459,597,14,4,11,7.67
76,1750,613,2.8,3,8,101.2,3.5,68.3,103.8,163,262,12,1.6,7.5,7.92
10,305,248,2.8,169,8,103.6,1.5,27.5,171,666,929,4,1.6,11.5,7.7
320,414,455,0.6,1,7,100,5.9,1,515,1,73,11,0.65,11.6,7.86
5,11909,956,1.5,2,8,98.6,0.7,31.7,66,141,259,17,4.2,6.1,7.62
85,640,351,8,12,7,98.7,10,131.3,90.6,848,1051,61,39,9,7.41
10,1127,202,3.7,41,7,92.9,48.4,142.1,112.5,1207,1367,93,5.9,12.5,7.32
250,9741,1047,0.8,6,8,104.7,1.8,0,59.1,8,101,8,1.4,5.6,7.92
305,4453,973,0.9,2,8,103.5,0.6,6.3,63.9,39,79,3,1,9.5,7.98
6,914,374,5,72,7,82,71.1,17.1,347,430,740,113,3.6,14.4,7.34
268,78,829,5.6,3,8,100.2,3.1,4.1,33.5,36,115,11,5.1,7.7,7.27
198,896,695,5.4,3,7,106.8,1.3,13.5,87.7,489,698,7,0.95,5.6,7.95
3,2818,482,2.8,12,8,95,28.4,30.9,84.6,555,616,43,7.8,10.4,7.05
305,4302,1043,0.6,12,8,101.7,1.4,24.9,70.7,28,117,7,1.4,7.7,7.87
21,809,231,7.4,14,8,98.1,5.1,108.6,135,67,216,23,5.9,11.8,7.43
320,1079,1200,1.7,3,8,102.2,0.7,16.1,99.8,19,113,135,20,5.2,7.89
91,546,159,12.4,23,7,93.8,13.2,75.9,128,443,704,52,7.4,11.3,7.06
183,1404,888,15.4,5,8,100.5,5.6,248.1,60.6,64,280,35,11,6.8,7.69
655,521,1422,3.3,1,5,101.8,4.9,21.8,42.4,27,82,15,8.7,4,7.71
15,270,107,9.2,19,8,91.6,19,46.4,193,441,690,52,9.8,10.6,7.53
320,1040,820,3,3,1,96,10.7,275.5,66.2,221,364,55,21,8.1,7.79
80,304,413,15.2,29,6,97.7,20.2,98.7,39.8,339,1639,557,180,9.9,6.92
10,82,228,17.4,17,8,90.4,16.3,365.4,225,291,689,51,7.9,10.5,7.43
15,2371,732,2.6,6,6,99.4,14.1,34.1,109.7,233,358,121,87,9.6,7.49
10,2822,201,10.6,90,4,88.5,26.8,83.6,104.5,1008,2116,328,94,11.6,7.19
3,3494,847,1,2,0,104.7,3.6,3.1,68.5,284,343,5,0.45,9.3,7.75
15,8431,486,3.1,7,5,100,26.6,388,150,399,548,50,4.9,11,7.57
15,1114,257,6.3,8,4,102,5.2,68.3,90.1,483,604,21,5.5,8.8,7.59
320,19,725,2.7,12,4,100.6,6.9,920.8,72.6,220,296,12,1,6.9,7.46
30,216,297,4.4,33,4,103.2,32.6,93.3,184,2571,2829,71,2.5,9.5,7.69
18,6567,423,6.7,11,5,97,7.3,104.6,90.1,551,808,58,17,8.7,7.43
363,786,1005,0.9,2,8,100.2,14.9,5.2,89.3,71,97,22,1,7,7.45
53,1027,1009,0.7,3,8,100,1.1,3.1,87.3,46,65,2,0.5,6.5,7.69
244,2387,1034,2.1,0,8,100.6,3.5,72.3,69.4,111,149,31,15,6,7.71
518,2689,864,3.9,5,8,100.5,6.7,73.3,110.5,259,467,53,20,6.5,7.89
70,3451,746,5.9,8,8,94.6,10.5,105,130,319,497,165,65,7.4,7.79
425,293,622,5.2,7,8,100.6,12,129.1,66.9,427,562,65,25,8.1,7.39
131,2139,553,4.6,11,8,99.7,9.2,115.3,85.9,558,704,29,4.8,7.8,7.5
442,1060,976,2.2,2,8,102.1,2.5,14.6,68.7,36,121,13,5.4,6.4,7.75
152,716,371,7.6,19,8,98.1,17.8,238.2,232,1299,1620,84,42,8.8,7.84
37,3916,333,7.1,31,8,97.4,17,178.5,181,1372,1667,80,46,9.4,7.52
60,2525,648,2.1,2,8,102.4,2.7,104.6,89.9,334,384,12,4.7,7,7.74
457,30.5,722,4.4,6,8,100.5,10.5,93.3,105.8,636,837,30,6,9.2,7.86
10,4846,333,8.3,67,8,90.1,19.9,120.1,183,1341,1756,120,60,9.7,7.47
76,3076,854,1.4,2,8,101.2,3.8,116.9,68.8,152,207,54,30,6.5,7.64
55,1571,385,5,17,8,94.4,12.3,228.2,411,601,910,300,542,9.5,8
442,1060,976,1.8,1,4,102.3,1.4,2,71.5,19,76,4,1,5.8,7.86
320,1040,820,5,3,8,99.7,12.9,63.7,58.6,181,344,125,38,8.7,7.67
15,6309,736,5,2,8,99.4,2.8,10.8,77.1,110,184,4,0.65,8.4,7.71
15,2371,732,5.4,9,8,102.3,25.5,344.8,98.7,184,500,324,274,9.9,8.34
213,258,701,2.9,1,7,96.5,1.3,1,38.9,23,69,3,0.42,8.2,7.22
171,642,774,7,3,8,95.3,2.8,5.2,55.7,58,148,3,0.3,8,7.56
20,3827,485,7.2,4,8,99.9,3.8,12.1,59,200,252,7,0.7,8.8,7.39
14,8098,665,7.1,3,7,100.4,3,307.6,96.3,294,416,14,3.7,6.7,8.03
5,2150,449,3.2,7,3,101.5,6.6,32.7,118.2,1468,1589,12,1.4,6.6,7.61
244,2387,1034,1.6,1,3,101.1,2.3,7.4,71.6,92,142,8,6.2,5.3,7.75
15,5139,470,3.8,13,1,97.3,9.9,101.2,102.4,1196,1339,22,2.3,4.8,7.38
329,121,863,3.8,1,8,97.9,5.1,25.9,77.7,169,210,65,37,7.5,7.76
376,166,1049,1.2,0,0,100.4,2,1,98.6,13,58,2,0.4,4,8.03
10,12429,383,13.7,57,2,84.4,37.2,2419.2,137,1022,1500,130,23,12.3,7.06
220,1139,694,2.7,2,0,98.4,1.8,55.6,65.7,757,844,3,0.62,4.3,7.16
11,1376,607,3.2,4,3,103.2,17.3,165.8,63.5,125,239,302,375,10.4,7.7
259,787,787,1.5,3,0,99.3,5.2,43.5,58.2,338,388,9,0.93,6,7.32
76,1750,613,4.3,2,0,104.3,3,13.2,106,377,447,6,0.7,6.7,7.96
10,305,248,4.1,13,4,101.3,3.8,235.9,81.2,861,972,19,3,11.4,7.14
60,2525,648,1.8,2,7,102.1,2.9,31.8,96.7,352,455,5,1.2,6.9,7.86
26,2438,342,14.2,36,7,97,54.1,2419.2,226,1290,1902,207,77,10.3,8.14
