Altitude,Catchment area,Catchment height,Absorbance Coefficient,Ammonia,Cloud Cover,Dissolved Oxygen Saturation,Dissolved Reactive Phosphate,E Coli,Electrical Conductivity,Nitrate + Nitrite,Ring Temp,Total Nitrogen,Total Phosphate,Turbidity,Water Temp,pH
17,2368,322,3.6,5,7,99.1,12.9,48.8,109.9,101,15.37042615,248,25,1,18.9,7.74
259,787,787,1.2,6,5,102.8,4.5,228.2,56.5,232,15.37042615,315,9,0.85,12.5,7.31
320,414,455,1.3,1,0,110.7,3.5,3.1,504,0,14.33631752,104,9,0.5,22.1,8.39
10,1127,202,4.7,53,6,90,63,160.7,108.7,923,-15.48321672,1126,96,5.1,18.3,7.24
76,1750,613,3.6,3,1,109.8,1,12.2,122.2,64,-15.49967742,139,5,0.82,18.2,8.44
85,640,351,4.3,11,6,110.5,9.4,48,135,247,-15.28168839,407,18,0.9,19.3,7.83
305,4453,973,0.5,3,1,116,0.8,0,72,18,-15.62817968,108,4,0.42,17.2,8.9
26,2438,342,2.3,14,1,123.8,10,31.4,171,394,-13.62534403,571,25,2,23.5,8.84
2,2001,663,1.7,5,4,101.7,6.7,26.5,131,81,-13.89964028,171,16,4.2,23,8.23
9,20582,790,1.2,2,3,101.5,0.6,21.3,73.8,11,15.60769041,137,8,1.2,17.4,7.99
6,914,374,6.8,30,0,86.3,53.5,228.2,314,348,15.30490118,660,129,8.4,19.2,7.26
268,78,829,3.9,2,7,99.5,2.7,18.3,48.3,15,-15.68438714,89,6,1,15,7.61
305,4302,1043,0.4,9,0,102,1.1,3.1,65.2,14,-15.67960459,109,7,0.62,16.5,8
21,809,231,8.3,3,4,103.2,6.5,103.9,150,9,13.56760849,167,20,3,23.6,7.7
3,2818,482,6.1,11,0,99.5,21.3,128.1,79.1,323,15.53061493,534,72,25,18,7.01
320,1079,1200,0.5,2,1,103.1,0.6,2,113.7,7,-15.6971335,61,6,0.91,15.4,7.98
91,546,159,15.9,4,5,115.3,18.4,98.5,122.3,142,13.95170241,400,58,5,22.9,7.47
183,1404,888,2.1,1,3,100.3,0.1,21.6,55.6,3,-15.6920362,66,5,0.39,15.2,7.68
238,458,1020,4.9,1,8,101.3,1.7,109,39.7,49,15.69968153,207,40,4.5,15.8,7.53
320,2423,690,7.4,2,3,99.6,14.6,231,95.1,1,-15.64608577,256,43,1.6,14.4,7.69
180,406,627,2.8,2,7,101.8,4.3,218.7,64.8,258,-15.61825855,383,16,1.8,14.1,7.69
4,2373,542,3.1,2,7,106,1.2,85.7,62.8,76,15.68438714,212,10,1.3,16.4,7.67
80,304,413,5.6,7,6,98.4,5.1,98.7,56.1,104,-15.68438714,216,15,1.1,16.4,7.22
655,521,1422,0.6,1,0,100.3,2.2,5.2,48.8,6,15.18189712,57,7,2.2,11.7,7.7
220,151,672,9.5,6,1,97.3,3.7,161.6,56,6,15.63745504,231,22,0.81,14.3,7.34
5,11909,956,1.2,1,5,103.8,4.1,22.1,76.8,246,-15.59647396,439,11,0.63,17.5,7.51
20,4716,605,8.7,3,3,109.1,5,24.3,92.5,1,-15.64608577,250,28,1.1,17,8.04
10,2822,201,9.7,9,3,92.9,25.4,71.7,118.3,306,14.97998665,520,62,4.6,20.4,7.41
250,9741,1047,0.5,1,5,97.8,0.7,0,59.1,3,-15.37042615,68,4,0.52,18.9,8.01
198,896,695,1.5,0,5,111.1,0.9,13.4,82.3,1,-15.41071056,107,7,0.31,18.7,8.32
15,8431,486,4.1,4,0,102.6,14.1,41.3,177,133,14.46651306,387,43,1.6,21.8,7.58
3,3494,847,0.9,2,3,108.6,2.3,4.1,61.2,9,-14.62873884,169,9,1.5,21.4,8.13
70,3451,746,1.8,2,7,103.9,2.6,50.4,161,1,14.88254011,107,10,0.9,20.7,8.07
152,716,371,4.3,16,6,101.2,7.1,55.6,265,18,14.91576347,272,26,1.6,20.6,8.14
37,3916,333,4.2,10,5,105.4,2.1,37.9,206,2,14.62873884,245,21,2.8,21.4,7.87
10,4846,333,5.2,5,1,189.2,31,16,206,35,-13.89964028,433,95,2.7,23,9.3
53,1027,1009,1,2,8,99.6,1.1,344.8,69.5,19,-15.3274264,87,23,1.6,12.3,7.63
15,1114,257,8.9,4,4,109.8,2.7,45.7,110.7,0,-14.62873884,272,26,2.2,21.4,8.47
320,19,725,2.4,6,4,102.6,9.8,50.4,77,21,-15.67960459,127,17,0.6,14.9,7.71
30,216,297,8.3,14,6,106.2,39.1,85.5,204,1176,-15.07083276,1543,78,1.6,20.1,7.36
363,786,1005,0.8,2,6,104.3,9.7,14.8,112.3,9,15.55892027,82,16,0.44,13.6,7.65
425,293,622,5.7,5,8,100.5,22.1,157.6,86.2,9,15.44830088,175,39,1.3,18.5,7.74
131,2139,553,4.6,7,6,121.7,4.2,53.7,103.6,53,15.3274264,313,14,1.2,19.1,8.56
457,30.5,722,5.6,5,0,104.7,3.6,123.3,169,15,-15.48321672,260,14,0.81,18.3,8.3
55,1571,385,3.5,2,0,103.7,1.2,30.5,487,34,11.67218917,226,36,40,26.2,8.19
30,122,237,6.9,3,2,94.6,3.8,135.4,122.7,5,-15.6920362,109,9,1.6,16.2,7.59
376,166,1049,0.5,0,0,99.6,1.3,9.8,132,7,-14.54922678,44,3,0.3,9.8,8.2
15,6309,736,5.1,1,3,114.5,0.5,15.6,75,11,15.69490363,96,6,0.51,15.3,7.78
10,307,151,8.4,3,7,93.4,1.6,166.9,132,9,15.55892027,230,13,1.1,17.8,7.45
320,1040,820,1.6,1,5,105.5,1.6,14.2,95.6,112,15.41071056,231,7,0.43,12.7,8.3
349,3305,655,0.5,0,2,103.1,1.3,4.1,119.7,1,15.61825855,90,5,0.3,17.3,8.07
213,258,701,2.9,1,8,96.4,0.7,2,37.5,15,15.34926708,98,5,0.28,12.4,7.12
15,2371,732,2,0,7,102.4,1.3,15.3,120.1,2,-15.67960459,112,9,0.74,14.9,8.39
76,1750,613,2,1,0,108.8,1.1,9.8,149,49,-15.6920362,128,5,0.44,16.2,8.41
171,642,774,6.7,1,4,104.5,1.4,11,54.5,32,15.66141756,100,4,0.45,14.6,7.55
21,809,231,9.5,1,5,100.6,3.6,103.9,142,5,-15.34926708,195,18,3.4,19,7.67
20,3827,485,6.8,3,3,104.4,0.6,23.1,66.6,83,-15.69872606,204,12,0.8,15.5,7.45
205,509,528,3.3,1,3,106.6,15.1,18.7,86.9,57,-15.51547615,131,28,0.9,13.3,8.22
91,546,159,15.6,4,8,100.7,16.3,143.9,141,335,-15.37042615,702,55,5.6,18.9,7.18
14,8098,665,6.6,2,8,107.2,2,88.2,75.3,71,15.57209042,223,12,1.7,13.7,8.06
185,1144,599,1.6,5,4,106.2,15.6,14.5,88.7,625,-15.58460779,716,29,0.7,13.8,7.88
5,2150,449,4.8,6,8,101.6,4.6,124.6,95.7,649,-15.55892027,896,21,2,13.6,7.42
10,605,339,2.2,5,6,94.8,2.1,123.3,107,224,15.66141756,325,7,1.2,14.6,7.21
183,1404,888,1.3,0,7,98.9,0.6,11.9,61.8,3,-15.63745504,74,5,0.35,14.3,7.82
15,5139,470,7.7,53,7,95.7,23.4,1203.31,106.3,998,15.18189712,1352,59,2.2,11.7,7.16
15,270,107,17.7,9,4,88.3,10.4,44.3,208,108,-15.65407295,426,52,7,16.9,7.52
91,16548,902,0.7,3,1,99.1,0.3,7.4,73.3,19,15.66141756,118,6,0.65,14.6,7.85
200,87,576,2.9,4,1,98.7,2.5,9.7,71.8,35,-14.84856896,88,9,0.4,10.6,7.59
10,12429,383,3.1,5,8,98,11.8,248.1,155,127,15.34926708,375,54,2.4,19,7.68
655,521,1422,0.4,2,3,101.2,2.9,2,51.1,3,14.5893797,43,5,0.47,9.9,7.77
220,1139,694,2.4,2,0,98.3,1.8,20.1,51.6,319,-15.3274264,403,7,0.51,12.3,7.13
17,2368,322,1.9,14,3,97.2,14.2,38.8,114.3,231,-15.69968153,352,33,1.7,15.8,7.55
10,82,228,25.2,11,5,29.1,10.2,325.5,254,2,15.65407295,456,93,4.2,16.9,7.05
259,787,787,1.3,7,0,99.3,4.6,145,49.6,186,-15.30490118,248,21,0.81,12.2,7.26
10,305,248,3.5,9,0,104.4,1.9,12,168,172,-15.63745504,306,9,0.61,17.1,7.73
85,640,351,2,29,1,99.7,9,62.4,141,400,15.69490363,522,20,0.62,16.1,7.55
305,4453,973,0.3,3,1,111.3,1.1,37.9,63.4,12,-15.69872606,143,8,0.7,15.5,8.55
10,1127,202,3.6,92,0,93.5,53,238.2,107.4,997,15.7,1204,101,2.9,15.7,7.33
268,78,829,1.6,4,0,101.3,2.5,14.5,59.4,35,15.39090641,75,6,0.53,12.6,7.56
9,20582,790,1.9,2,6,102.3,1.2,30.1,78,84,15.67960459,211,12,1.3,14.9,7.92
3,3494,847,0.6,1,4,118.4,1.3,5.1,70.2,5,15.51547615,108,5,0.42,18.1,8.76
305,4302,1043,0.6,10,0,103.8,0.8,8.4,65.4,15,15.6920362,79,13,2.5,15.2,7.94
320,1079,1200,1.1,3,1,104.1,0.4,9.7,95.8,13,-15.28168839,94,31,6.2,12.1,7.98
244,2387,1034,0.4,1,1,99.9,0.8,18.5,71.3,24,15.07083276,66,6,1.8,11.3,8.35
238,458,1020,4.6,2,8,98.6,1.5,30.9,44.6,14,15.67960459,210,14,1,14.9,7.56
320,2423,690,12.6,4,8,97.1,17.4,113.7,88.5,4,15.39090641,311,55,2.7,12.6,7.72
180,406,627,1.9,2,8,98.6,0.7,58.1,82.2,441,15.44830088,587,5,0.55,12.9,7.81
4,2373,542,2,2,8,97.1,0.3,35.4,60.4,38,15.68853084,165,10,0.45,15.1,7.66
442,1060,976,1.1,1,1,103.6,1,12.1,68.6,0,-15.15519713,52,5,0.65,11.6,7.88
80,304,413,4.8,10,0,97.6,10.8,235.9,63.4,150,-15.66141756,281,16,0.82,14.6,7.24
220,151,672,11,4,8,94.6,4.6,131.7,47,3,-15.2577849,198,16,0.7,12,7.27
488,384,1108,0.8,1,7,99.6,1.2,4.1,95.3,3,15.53061493,62,3,0.3,13.4,8.73
60,2525,648,1.4,4,1,100.4,2.8,34.5,92.1,368,15.55892027,504,11,0.75,13.6,8.65
320,414,455,0.6,0,1,104,1.7,5.1,511,0,15.28168839,104,7,0.38,19.3,8.31
5,11909,956,0.7,1,8,101.5,0.7,33.6,65.7,71,15.6681205,130,4,0.6,14.7,7.91
20,4716,605,13.1,7,7,101.5,6.9,23.8,66.3,10,15.57209042,261,29,1,13.7,7.5
10,2822,201,9.2,11,1,93.2,22.4,101.2,121.8,357,15.51547615,607,60,3.5,18.1,7.48
250,9741,1047,0.3,0,8,96.6,0.7,0,60.5,1,-15.69872606,113,4,0.45,15.5,7.99
198,896,695,1.9,1,8,107.4,1.8,18.3,89.8,3,15.68853084,126,5,0.32,15.1,8.3
2,2001,663,1.1,1,7,111.2,2.7,11.8,174,13,-15.39090641,81,13,0.75,18.8,8.68
6,914,374,3.5,26,1,87.2,24.6,1119.85,317,354,15.57209042,713,158,15,17.7,7.44
76,3076,854,0.5,1,7,100,1.2,39.3,71.9,27,15.6971335,62,4,1.2,16,8.13
3,2818,482,2.2,3,4,113.7,3.5,10.8,94.4,264,-15.6681205,439,25,1.2,16.7,7.31
15,8431,486,2.8,5,7,106.9,9.3,25.9,156,164,15.15519713,364,34,1.3,19.8,7.94
329,121,863,0.9,1,8,100.1,1.7,7.4,108.9,8,15.69968153,46,5,0.56,15.8,7.84
26,2438,342,2.3,6,3,133.9,1.5,6.3,194,2,-14.38054241,160,11,0.59,22,9.05
15,1114,257,6.3,3,8,103,2.6,133.3,124.8,20,-15.37042615,244,31,1.8,18.9,8.02
320,19,725,3.7,14,8,99.2,15.1,2419.2,78.6,46,-15.65407295,178,25,0.8,14.5,7.64
30,216,297,8.1,15,8,112.7,51.9,435.2,227,1322,15.51547615,1665,98,1.4,18.1,8.2
18,6567,423,5.9,1,8,98.1,1.9,85.5,140,2,15.30490118,143,10,1.6,19.2,7.8
363,786,1005,1.7,2,8,101.9,10.3,238.2,116.2,6,-15.2577849,123,24,0.78,12,7.57
518,2689,864,2,3,8,102.9,2.2,579.4,150,14,-15.68438714,132,13,2.9,15,8.01
70,3451,746,1.9,2,7,106.2,0.9,920.8,205,2,-15.58460779,103,8,0.64,17.6,8.18
425,293,622,6.1,4,6,101.6,6.1,110.6,91.7,5,15.58460779,172,25,0.95,17.6,7.84
131,2139,553,3.9,7,8,112.3,2.3,48.7,130,18,15.69872606,156,16,1.2,15.9,8.3
152,716,371,5.3,21,8,93.4,9.3,2419.17,317,125,-15.62817968,397,60,4.3,17.2,8.03
37,3916,333,3.9,10,6,115.5,2.5,307.6,234,92,-15.39090641,328,22,1.7,18.8,8.11
457,30.5,722,5.4,9,8,101.7,5,191.8,204,25,15.68853084,208,28,0.8,16.3,8.32
10,4846,333,4.3,345,6,104.2,58.8,579.4,232,341,-15.28168839,1007,158,2,19.3,7.79
55,1571,385,2.9,14,8,99.2,0,2419.2,512,30,-14.10248205,235,68,80,22.6,8.2
53,1027,1009,0.2,1,8,97.9,0.4,2,94,21,-14.70510116,46,2,0.35,10.2,7.72
329,121,863,1.8,1,3,97.2,6.5,30.9,89.6,95,-15.41071056,180,11,5.8,12.7,7.67
376,166,1049,2.2,1,8,102.4,1.9,17.5,118.6,24,15.23318745,100,5,1,11.9,8.12
11,1376,607,3.3,2,8,99.2,12.9,101.4,88.8,79,-15.69490363,172,20,6.4,16.1,7.72
76,1750,613,2.9,2,7,106.9,0.8,90.7,147,49,-15.68853084,173,7,0.45,15.1,8.33
213,258,701,3.1,2,8,102.5,0.4,0,38.3,1,15.6741826,72,4,0.25,14.8,7.47
26,2438,342,2.6,5,6,106.4,15.7,76.3,176,559,15.20789269,711,29,2.9,19.6,8.3
14,8098,665,3.5,2,5,119.2,0.9,15,78.5,124,-15.63745504,284,7,0.55,14.3,8.78
5,2150,449,2.8,6,7,117.8,2.2,119.8,104.6,653,15.69490363,801,10,0.75,15.3,8.31
183,1404,888,8.2,1,8,100.2,0.9,191.8,62.6,17,15.48321672,175,12,1.6,13.1,7.65
15,5139,470,4.5,39,8,89.3,21.4,547.5,121.7,1336,-15.57209042,1551,40,1.6,13.7,7.18
655,521,1422,1.8,1,6,101.4,3.9,28.8,45.2,19,-14.10248205,80,10,4,8.8,7.67
220,1139,694,1.7,3,6,96.7,1.8,49.6,60.4,546,-15.48321672,669,14,0.4,13.1,7.17
259,787,787,1.1,6,8,96.9,3.9,79.4,59.3,274,14.94824405,358,9,0.65,10.9,7.24
9,20582,790,0.9,2,7,102.6,0.6,121.1,73.5,19,15.68853084,89,5,0.7,15.1,7.96
3,3494,847,2.3,2,4,106.9,1.5,360.9,60.9,9,15.68853084,97,10,4.1,16.3,7.91
320,2423,690,10.6,4,2,98.9,27.1,98.7,128,1,-15.09966887,314,50,1.7,11.4,7.78
320,1040,820,2.1,3,0,101.2,4.5,35,95.1,182,-15.44830088,307,9,0.71,12.9,7.92
220,151,672,8.8,2,8,94.5,8.7,129.1,54.9,1,-15.28168839,159,17,0.7,12.1,7.24
15,2371,732,2.6,3,3,104.3,10.6,33.9,124.8,123,-15.65407295,228,22,1.9,16.9,8.25
20,4716,605,8.9,3,3,106.7,9,12.1,98.1,8,-15.62817968,232,23,0.74,14.2,7.93
488,384,1108,4.1,2,6,90,1.7,54.5,43.3,5,14.66731059,104,11,3,10.1,7.57
2,2001,663,1.9,3,5,99.3,9.3,1986.28,119.9,91,15.68853084,242,93,45,16.3,7.92
10,12429,383,6.8,12,6,89.4,32.3,727,151,336,15.59647396,653,87,12,17.5,7.48
91,16548,902,0.5,1,7,100.5,0,14.5,70.3,19,15.58460779,107,5,0.84,13.8,7.73
15,6309,736,14,5,3,99.4,2.9,272.3,56.2,57,15.09966887,279,51,15,11.4,7.38
10,305,248,7.1,170,6,104.7,4.3,139.6,171,560,-15.68853084,982,12,1.1,16.3,7.74
349,3305,655,0.5,1,2,105.2,0.9,8.6,118,1,15.63745504,87,5,0.28,17.1,8.14
10,1127,202,5.9,16,5,90.8,51.3,920.8,102,859,-15.6920362,1064,89,4.4,15.2,7.27
305,4453,973,0.3,4,6,111.3,0.5,2,68.7,18,-15.65407295,112,3,0.3,14.5,8.78
171,642,774,18,3,6,101.5,1.8,25.9,33,24,-14.97998665,179,20,3.3,11,7.14
305,4302,1043,0.5,11,7,101.3,0.9,4.1,66.2,15,-15.44830088,89,12,1.1,12.9,7.9
20,3827,485,20.4,8,4,98.3,5.9,117.8,44.3,103,-15.42984122,283,25,5.4,12.8,6.98
205,509,528,4.8,4,3,100.2,20.8,143.9,73.9,131,-15.42984122,291,39,3.1,12.8,7.72
320,1079,1200,1.3,3,8,100.8,0.5,2,100.1,11,13.89964028,72,23,4,8.4,7.87
185,1144,599,3.4,6,1,103,25,579.4,85.4,704,15.49967742,838,39,1.4,13.2,7.68
15,270,107,17.1,8,2,87.6,26.3,118.7,198,216,15.66141756,649,62,8,16.8,7.39
30,122,237,7.9,3,3,97.8,5.5,139.6,119,22,-15.66141756,133,11,1.9,14.6,7.58
80,304,413,7.5,5,7,96.5,10,285.1,50.4,254,15.34926708,413,36,5.4,12.4,7.08
10,82,228,30.1,19,3,80.7,21.4,1299.65,243,284,15.68438714,937,68,9.8,16.4,7.27
10,307,151,14.6,8,5,101.2,8.9,161.6,116.2,192,-15.69490363,464,29,2.6,16.1,7.51
10,2822,201,13.2,27,6,86.6,25.2,1413.6,111.4,706,15.68853084,1131,86,14,15.1,7.16
15,8431,486,3.5,7,4,100.2,14.1,55.6,168,211,-15.44830088,385,35,1.6,18.5,7.62
21,809,231,10.2,2,5,95.2,9,191.8,133,49,15.58460779,264,29,5.5,17.6,7.35
91,546,159,20.7,40,4,94.2,25.3,78,121.3,417,15.63745504,814,76,8.3,17.1,6.68
15,1114,257,8.7,31,7,98.7,24.2,1986.28,107.5,383,-15.6741826,1028,240,30,14.8,7.6
320,19,725,14.4,10,6,100.8,8.4,488.4,45.5,57,-15.127789,262,32,2,11.5,7.14
320,414,455,0.5,2,8,100.7,2.2,22.8,500,2,15.64608577,97,7,0.3,17,7.99
30,216,297,9,31,8,100,84.5,1732.87,196,1444,15.67960459,1803,155,2.8,14.9,7.81
6,914,374,7,52,8,84.1,69.5,186,338,383,-15.62817968,731,124,3,17.2,7.26
3,2818,482,2.6,14,8,98.9,20.7,66.3,94.7,417,15.66141756,548,37,1.5,14.6,6.95
18,6567,423,7.5,8,8,98.1,7.5,104.6,99.1,196,-15.64608577,390,27,3.5,14.4,7.55
363,786,1005,2.6,5,4,100.9,14.4,44.8,80.2,37,14.54922678,115,26,1.8,9.8,7.4
10,605,339,3.3,8,1,101.5,2,214.2,94.8,153,-15.46609194,284,9,0.44,13,7.39
244,2387,1034,1.1,1,3,103.6,1.8,12.2,63.2,48,14.74211654,163,20,9.3,10.3,7.2
518,2689,864,6.4,3,5,103.1,8.1,1299.65,88.8,57,14.91576347,306,102,42,10.8,7.79
70,3451,746,6.7,3,6,99.1,8.5,2419.2,166,102,15.49967742,521,222,83,13.2,7.88
200,87,576,11,2,3,99.8,3.6,3.1,62.9,32,-14.91576347,163,6,0.46,10.8,7.44
425,293,622,17.5,18,6,99.6,18.1,1732.87,51.6,192,15.42984122,1297,382,88,12.8,7.16
131,2139,553,17.9,14,7,101.8,12.8,1986.28,70.3,300,-15.46609194,832,118,43,13,7.29
442,1060,976,1.5,1,1,102.5,1,3.1,64.7,5,-15.127789,105,6,1.3,11.5,7.77
152,716,371,5,9,6,101,13.3,410.6,240,358,-15.54509569,578,40,3.1,13.5,8.11
17,2368,322,3.4,5,1,98.3,17.2,139.6,93.2,219,-15.53061493,357,37,3.1,13.4,7.53
37,3916,333,5.3,11,7,99.2,14.8,866.4,166,533,15.6741826,774,68,22,14.8,7.73
60,2525,648,1.7,3,1,101.4,3.1,54.5,78.9,254,-15.44830088,371,13,2.5,12.9,7.75
457,30.5,722,12.2,8,7,101.6,30,1413.6,109,106,-15.54509569,423,56,4.2,13.5,7.98
85,640,351,4.4,5,2,99,8.2,122.3,98.1,267,15.6741826,392,17,1.9,14.8,7.49
10,4846,333,5.5,97,7,100.2,33.5,816.4,165,527,-15.69872606,873,79,14,15.5,7.68
268,78,829,5.9,1,1,100.6,1.7,7.4,44,33,-15.127789,126,11,1.3,11.5,7.37
76,3076,854,0.8,2,2,100.2,2.3,71.2,66.9,99,15.69968153,180,31,19,15.6,7.66
55,1571,385,4.4,3,3,98.2,1.6,1553.07,373,37,15.6920362,311,194,230,16.2,8.11
238,458,1020,5.1,11,1,96.3,2,13.5,43.5,91,-15.2577849,285,15,1.2,12,7.6
180,406,627,3.7,5,1,96.8,0.7,57.3,78.4,476,14.74211654,604,3,0.36,10.3,7.81
4,2373,542,2.9,7,0,94.2,2.7,19.5,61.6,107,15.55892027,233,6,0.4,13.6,7.6
5,11909,956,1.2,2,0,92.4,2,58.6,70.4,177,15.58460779,274,9,0.7,13.8,7.31
250,9741,1047,0.6,5,0,99.9,0.5,0,60.1,10,15.60769041,121,7,0.44,14,7.89
198,896,695,1.3,1,0,108,2.7,21.6,93.3,5,15.63745504,118,7,0.4,14.3,7.99
53,1027,1009,1.9,4,8,99.2,2.3,4.1,62.6,32,-14.00285685,140,69,30,8.6,7.68
329,121,863,1.5,2,0,98,5.1,45,88.8,192,-14.1509717,221,58,43,8.9,7.78
15,6309,736,2.6,0,8,98.2,0.7,16,71.9,125,14.62873884,175,5,1.5,10,7.65
171,642,774,2.5,0,6,102.9,0.8,5.2,63,53,14.24535012,99,3,0.3,9.1,7.67
20,3827,485,5.2,4,8,99.9,1.6,14.6,61.3,202,15.20789269,276,6,1.3,11.8,7.39
376,166,1049,0.6,0,1,100.7,2,1,107.1,42,12.42296261,70,8,0.5,6.1,8.1
11,1376,607,3.4,1,8,100.1,8.6,65.7,82.3,133,15.127789,190,67,42.5,11.5,7.74
76,1750,613,2.4,0,4,101,2.1,27.2,131,370,14.70510116,436,5,1.2,10.2,8.01
213,258,701,3.3,3,7,99,0.2,1,37.5,5,15.37042615,92,4,0.44,12.5,7.35
26,2438,342,11.7,18,2,96,36.5,307.6,242,1521,15.57209042,1808,107,24,13.7,8.01
14,8098,665,5.1,3,8,101.4,1,71.7,87.7,212,14.38054241,312,9,1.9,9.4,7.78
5,2150,449,3.3,7,3,99.1,9.3,53.7,91.4,870,14.77836256,1004,19,3.3,10.4,7.45
183,1404,888,2,1,8,100.4,0.4,21.8,54.5,49,-15.07083276,97,5,1,11.3,7.74
15,5139,470,4.5,65,1,92.2,27.1,235.9,100.2,951,-13.79275172,1196,45,3.1,8.2,7.16
655,521,1422,0.7,0,7,100.6,2.2,12.2,46.9,31,-13.26386068,67,8,2.8,7.3,7.67
220,1139,694,2.4,4,8,94.5,2.2,55.6,61.5,712,14.05311354,778,8,1.6,8.7,7.1
259,787,787,1.1,4,8,97.1,5.6,178.9,55.9,301,14.38054241,376,13,1.9,9.4,7.26
488,384,1108,1,1,5,98.3,1.7,6.3,70.8,17,-14.10248205,63,8,1.2,8.8,7.78
2,2001,663,3.3,2,2,96.4,8.2,68.3,144,302,15.48321672,376,55,33,13.1,7.92
9,20582,790,1.7,1,6,99.1,0.8,25.9,74.4,66,-15.28168839,152,11,2.25,12.1,7.79
3,3494,847,0.9,0,1,100.5,2.5,6.3,61.3,176,-15.51547615,213,10,2.2,13.3,7.62
320,2423,690,11.2,8,8,97.2,16.2,98.5,94.5,94,-13.0690474,330,42,3.7,7,7.49
320,1040,820,2.1,1,0,98.3,7.2,37.7,87.5,296,-14.33631752,367,19,3.6,9.3,7.82
220,151,672,12.4,2,8,97.2,1.7,186,40.4,6,-12.49959999,158,13,2.4,6.2,7.12
15,2371,732,3.4,5,8,98.7,12.2,42.8,123.3,268,14.88254011,354,70,39,10.7,8.21
20,4716,605,11.7,4,8,97.8,14.7,78,88.5,139,-13.62534403,359,34,4.25,7.9,7.45
53,1027,1009,0.6,0,0,99.8,0.8,1,90.4,39,12.10330533,65,4,0.34,5.7,7.74
15,1114,257,9.9,21,0,100,7.7,1986.28,93.3,313,-14.5082735,636,184,61,9.7,7.5
10,12429,383,7.9,18,0,89,33.7,32.4,160,648,15.51547615,878,72,4.5,13.3,7.35
320,19,725,4.1,6,0,100.3,5.6,68.3,72.2,180,13.13506757,227,11,0.79,7.1,7.48
349,3305,655,0.4,1,1,99.8,0.4,2,117.5,0,15.65407295,63,4,0.42,14.5,8.01
30,216,297,8.3,193,1,104.3,111.8,770.1,167,1642,14.05311354,2122,220,4.2,8.7,7.82
10,305,248,4.4,4,0,102.1,3.8,8.2,103.2,625,-14.84856896,700,10,2.1,10.6,7.42
10,1127,202,5.7,48,1,91.1,42.6,30.5,114,1241,-15.23318745,1397,97,4.9,11.9,7.18
18,6567,423,15.1,14,4,96.6,5.8,2419.2,83.7,305,14.46651306,640,149,71,9.6,7.45
205,509,528,3,2,2,101.1,21.4,19.7,75.8,205,-13.73790377,265,36,2.2,8.1,7.67
185,1144,599,2,4,1,101.1,22.6,19.7,85.5,830,14.46651306,904,35,1.2,9.6,7.65
363,786,1005,1.1,1,6,103.2,10.4,11.3,102.1,21,13.13506757,54,13,0.6,7.1,7.59
10,605,339,12,4,0,98,3.9,116,86.9,284,-14.05311354,414,13,3.2,8.7,7.16
518,2689,864,5.4,3,8,100.9,4.3,186,115.2,142,13.00192294,309,32,6.9,6.9,7.92
200,87,576,7.4,1,0,100.5,2,1,56.6,45,13.50888597,125,6,0.5,7.7,7.41
91,16548,902,2.6,2,8,97.6,0.8,14.8,73.2,57,14.62873884,130,11,3.2,10,7.64
15,270,107,21.2,26,0,88.7,30.7,325.5,181,486,15.07083276,928,87,15,11.3,7.29
244,2387,1034,1.2,0,7,100,2.6,51.2,69.5,76,-12.79374847,125,7,4.4,6.6,7.75
80,304,413,5,2,0,98,7.5,46.5,54.8,384,13.56760849,484,17,1.5,7.8,7.12
70,3451,746,6.9,4,1,100.3,8.4,727,135,169,-13.73790377,359,54,22,8.1,7.91
30,122,237,12.4,1,1,98.2,4.9,111.9,118.9,24,15.20789269,133,9,3.7,11.8,7.56
10,82,228,34,18,0,91.1,28.4,488.4,209,323,-15.09966887,948,68,12,11.4,7.27
131,2139,553,6.8,4,0,100.8,7.5,69.1,81.6,337,-13.326665,469,23,4,7.4,7.56
320,414,455,0.5,0,3,100.1,1.6,4.1,508,1,15.64608577,85,6,0.44,14.4,8.11
152,716,371,7.3,12,1,97.8,10.7,1119.85,244,806,14.29125607,1144,37,5.1,9.2,8.03
10,307,151,11.5,4,4,104,6.3,105,112.7,302,-15.39090641,494,20,3.7,12.6,7.55
17,2368,322,11.5,15,5,97.6,20.4,1732.87,163,527,14.54922678,871,85,28,9.8,7.58
442,1060,976,1.7,1,1,103.7,0.6,6.3,70.1,3,13.38842784,72,5,1.2,7.5,7.96
305,4453,973,0.3,1,0,113.4,0.6,1,71.2,29,15.28168839,110,3,0.3,12.1,8.75
85,640,351,10.3,11,7,98.7,15.4,770.1,137,659,14.81384488,926,58,21,10.5,7.53
10,2822,201,10,13,0,91.6,20.6,410.6,122.3,1120,-14.81384488,1295,58,8,10.5,7.18
37,3916,333,10.4,15,6,97.9,14.9,980.4,160,653,14.70510116,1004,92,28,10.2,7.68
60,2525,648,1.6,2,3,104.9,1.6,20.9,88.1,324,13.89964028,373,8,2.2,8.4,7.87
6,914,374,5.6,65,5,86.8,60.5,261.3,316,432,15.59647396,697,99,3.5,13.9,7.32
15,8431,486,4.4,8,0,93.9,25.8,44.8,165,393,15.66141756,503,39,1.2,14.6,7.47
305,4302,1043,0.5,9,2,99.6,1,10.9,66.7,21,-14.94824405,102,8,1.1,10.9,7.85
268,78,829,3.8,2,4,99.8,2.5,14.6,52.3,55,13.79275172,93,5,0.75,8.2,7.49
